id,user_id,resource_id,ssno,resource_name,author,borrow_start_time,borrow_end_time
29225,f1b39701424e4ada357f63a1ac935df6,6874955,6874955,绝对主义国家的系谱,Linesages of the Absolutist State；(英)佩里·安德森（著）；刘北成；龚晓庄,2020/1/1 20:03,2020/1/8 20:03
29226,1dc5a06fd5383376957f65130725c4b4,4900482,4900482,强化传热及其工程应用,林宗虎,2020/1/1 20:04,2020/1/8 20:04
29227,14340b40700678c8a00e165f70f989bb,33152436,33152436,中枢神经系统与头颈部疾病影像诊断图谱,吴恩惠等主编,2020/1/1 20:07,2020/1/8 20:07
29228,c00c07eace962f6eaa5924681baf840d,9993407,9993407,The happy prince : and other stories,"Wilde, Oscar",2020/1/1 20:09,2020/1/8 20:09
29229,14340b40700678c8a00e165f70f989bb,14018044,14018044,三叉神经痛神经血管压迫的MRI研究,李玉侠,2020/1/1 20:10,2020/1/8 20:10
29230,8fbd2de78b3937e462bfacd00fa06782,21014905,21014905,古籍点校疑误汇录·四,国务院古籍整理出版规划小组（编）,2020/1/1 20:17,2020/1/8 20:17
29231,8fbd2de78b3937e462bfacd00fa06782,21014905,21014905,古籍点校疑误汇录·四,国务院古籍整理出版规划小组（编）,2020/1/1 20:17,2020/1/8 20:17
29232,d1fcab3c599cca7c7c96ee82c0082630,8019228,8019228,湖州文史·第六辑,湖州市政协文史资料研究委员会（编）,2020/1/1 20:22,2020/1/8 20:22
29233,68ae39e78681c7d0050a1006a6aa43dc,33192144,33192144,清代皇族人口行为和社会环境,[美]李中清  郭松义主编,2020/1/1 20:35,2020/1/8 20:35
29234,8dbf69e50fe69ef3bf1e087efd7aa681,9001084,9001084,四库全书总目提要·(三十三),The essentials of szu-ku-chuan-shu catalogue；永瑢（等撰）,2020/1/1 20:40,2020/1/8 20:40
29235,c64bd0e4095b3db87dc239b0f4569466,72000704,72000704,中国韵文史,龙沐勋（著）,2020/1/1 20:41,2020/1/8 20:41
29236,af8d5d15a2d3f0b9d0ccbf5f8d301da3,32018393,32018393,发展经济学,毕世杰,2020/1/1 20:52,2020/1/8 20:52
29237,21fa6445a3310b8161637d95d68ea789,13283114,13283114,Kalman滤波理论及其在导航系统中的应用,付梦印；邓志红；张继伟,2020/1/1 21:03,2020/1/8 21:03
29238,5b5e23cbd64ae76e48d84b33110fed43,13240942,13240942,稼轩词编年笺注 增订本,邓广铭；辛弃疾,2020/1/1 21:06,2020/1/8 21:06
29239,83e4cf45e0aaf4c8f9a17c7d216a75c2,51202646,51202646,百年法学：北京大学法学院院史：1904-2004,A HISTORY OF PEKING UNIVERSITY LAW SCHOOL；李贵连(编)；孙家红(编)；李启成（编）,2020/1/1 21:09,2020/1/8 21:09
29240,83e4cf45e0aaf4c8f9a17c7d216a75c2,4504482,4504482,百年法学──北京大学法学院院史（1904─2004）,李贵连；孙家红；李启成,2020/1/1 21:10,2020/1/8 21:10
29241,1a03d9a4496305baaa3891d52de18e20,4112012,4112012,新青年,上海亚东图书馆求益书社,2020/1/1 21:12,2020/1/8 21:12
29242,cb955959a93e07158e42bbca35f60a9c,6355909,6355909,东北地区经济地理·辽宁·吉林·黑龙江,孙敬之（主编）；吴付钧,2020/1/1 21:14,2020/1/8 21:14
29243,9d0cba517f77b100a09b2671daee85e7,6361472,6361472,气候变迁和超长期预报文集,中央气象局研究所（编）,2020/1/1 21:15,2020/1/8 21:15
29244,3e0bd08c3855838f896ad72ade3cef6a,33046049,33046049,王震传  （下卷）,《王震传》编写组著,2020/1/1 21:20,2020/1/8 21:20
29245,1a03d9a4496305baaa3891d52de18e20,4112013,4112013,新青年,上海亚东图书馆求益书社,2020/1/1 21:21,2020/1/8 21:21
29246,3e0bd08c3855838f896ad72ade3cef6a,6876896,6876896,王震传·上,《王震传》编写组（著）,2020/1/1 21:22,2020/1/8 21:22
29247,007ee3d89c358003787e6669565891bd,6504587,6504587,计算流体力学与传热学,陶文铨（编著）,2020/1/1 21:31,2020/1/8 21:31
29248,1a03d9a4496305baaa3891d52de18e20,4112016,4112016,新青年,上海亚东图书馆求益书社,2020/1/1 21:32,2020/1/8 21:32
29249,1a03d9a4496305baaa3891d52de18e20,4112005,4112005,新青年,上海亚东图书馆求益书社,2020/1/1 21:34,2020/1/8 21:34
29250,1a03d9a4496305baaa3891d52de18e20,4112006,4112006,新青年,上海亚东图书馆求益书社,2020/1/1 21:37,2020/1/8 21:37
29251,1a03d9a4496305baaa3891d52de18e20,4112007,4112007,新青年,上海亚东图书馆求益书社,2020/1/1 21:39,2020/1/8 21:39
29252,1a03d9a4496305baaa3891d52de18e20,4112008,4112008,新青年,上海亚东图书馆求益书社,2020/1/1 21:43,2020/1/8 21:43
29253,1a03d9a4496305baaa3891d52de18e20,4112015,4112015,新青年,上海亚东图书馆求益书社,2020/1/1 21:47,2020/1/8 21:47
29254,21fa6445a3310b8161637d95d68ea789,H2928676,H2928676,惯性导航,秦永元（编著）,2020/1/1 21:52,2020/1/8 21:52
29255,1a03d9a4496305baaa3891d52de18e20,4112017,4112017,新青年,上海亚东图书馆求益书社,2020/1/1 21:54,2020/1/8 21:54
29256,ad62f02fdcdb9b7db8173bce0857ad73,1020554,1020554,太平御览,（宋）李昉编,2020/1/1 22:02,2020/1/8 22:02
29257,bcb046eeedde84850ef8e6e432f040ba,7028456,7028456,女青年,,2020/1/1 22:04,2020/1/8 22:04
29258,1a03d9a4496305baaa3891d52de18e20,4112018,4112018,新青年,上海亚东图书馆求益书社,2020/1/1 22:05,2020/1/8 22:05
29259,bcb046eeedde84850ef8e6e432f040ba,7028455,7028455,女青年,,2020/1/1 22:08,2020/1/8 22:08
29260,bcb046eeedde84850ef8e6e432f040ba,3012423,3012423,女青年,女青年月刊社,2020/1/1 22:10,2020/1/8 22:10
29261,4159a3aff84d8054cf525cbefce60ac8,7112594,7112594,计算流体力学,Computational fluid dynamics；李万平（编）,2020/1/1 22:20,2020/1/8 22:20
29262,7c5954dbc21aabf7b96a9c94d718609e,33029876,33029876,哲学史家文库  诠释学——它的历史和当代发展,洪汉鼎著,2020/1/1 22:23,2020/1/8 22:23
29263,0f3a0363d7d20f84e2b4992547804a14,1000365,1000365,中国历代官制大辞典,吕宗力主编,2020/1/1 22:23,2020/1/8 22:23
29264,ad62f02fdcdb9b7db8173bce0857ad73,13303716,13303716,周礼注疏中,[汉]郑玄；[唐]贾公彦,2020/1/1 22:29,2020/1/8 22:29
29265,03011787aeb1c5d2d49fdfb517aaf4c9,6207580,6207580,景德传灯录·一,(宋)道原（撰）,2020/1/1 22:33,2020/1/8 22:33
29266,4159a3aff84d8054cf525cbefce60ac8,7110070,7110070,计算流体力学,Compatutional fluid dynamics；差分方法的原理和应用；张涵信(著)；沈孟育（著）,2020/1/1 22:35,2020/1/8 22:35
29267,0786479feaf7659f4e21c6711c803915,32041933,32041933,数值分析全真试题解析,孙志忠,2020/1/1 22:35,2020/1/8 22:35
